"elev" "smi" "dbh" "tht" "cr" "ba" "dg" "hg"
"1" 3493 4.8 1.5 9.8 5 77.7 0.2 3.5
"2" 3493 4.8 2.4 13.2 5 77.7 0.5 4
"3" 3493 4.8 5 22.2 6 77.7 1.1 8.7
"4" 3493 4.8 4.3 21.5 6 77.7 0.9 7.1
"5" 3493 4.8 3 16.6 6 77.7 0.5 6.1
"6" 3493 4.8 2.8 12.7 6 77.7 0.6 5.7
"7" 3493 4.8 3.8 16.8 6 77.7 0.4 4.1
"8" 3493 4.8 3 13.6 5 77.7 0.7 4.8
"9" 3493 4.8 2.1 11.8 5 73.2 0.5 3.9
"10" 3493 4.8 3.5 17.1 6 73.2 0.7 4.7
"11" 3493 4.8 1.5 9.7 4 73.2 0.5 4
"12" 3493 4.8 0.5 6.2 3 73.2 0.3 2.5
"13" 3493 4.8 1.7 10.6 4 73.2 0.1 3.6
"14" 3493 4.8 4.4 20.3 5 73.2 0.8 5.8
"15" 3493 4.8 3 14.4 6 73.2 0.3 4.6
"16" 3493 4.8 2.1 12 6 73.2 0.3 4.1
"17" 3493 4.8 2.8 15.2 5 73.2 0.7 5.1
"18" 3493 4.8 6.3 24.9 8 73.2 1.5 7.2
"19" 3493 4.8 1.4 9.8 4 73.2 0.5 3.6
"20" 3493 4.8 2.2 11.6 5 73.2 0.7 3.7
"21" 3493 4.8 1.8 10 3 73.2 0.5 4.5
"22" 3493 4.8 4.7 19 8 61 1.2 7.3
"23" 3493 4.8 4.4 20.4 7 61 1 7.3
"24" 3493 4.8 3 19.3 5 61 0.5 4.8
"25" 3493 4.8 3.5 16.8 6 61 0.5 5.8
"26" 3493 4.8 3.2 15.2 6 61 0.6 5.3
"27" 3493 4.8 4.9 20.7 7 61 1 6.7
"28" 3493 4.8 5 21 8 61 1.2 6.2
"29" 3493 4.8 6.6 28 8 61 1.1 6.7
"30" 3493 4.8 2.2 13.4 6 44.3 0.6 4.6
"31" 3493 4.8 1.1 8.2 4 44.3 0.8 4.3
"32" 3493 4.8 3 14.6 6 44.3 0.9 4.2
"33" 3493 4.8 6.5 24.7 6 44.3 1.6 8.8
"34" 3493 4.8 2.1 12.5 4 36.1 1.1 3.1
"35" 3493 4.8 2 10.5 4 36.1 1.1 3.4
"36" 3493 4.8 5.5 17.4 6 36.1 1.4 5.3
"37" 3493 4.8 3.7 18.5 8 36.1 1.4 6.7
"38" 3493 4.8 6 25 6 36.1 1.5 6.7
"39" 3493 4.8 6.4 28.7 5 36.1 1.2 5.7
